nome,id,post,fanPost,comments,likes,shares,commentsToOwnPost,commentsToOtherPost,fan
Messaggero Veneto,195905383236,1,0,37,78,16,0,0,36098
l'Unità,292449724097,6,27,1012,800,317,0,0,255404
INFORMAZIONE LIBERA,71253357381,1,0,30,214,103,0,0,1149119
PD Jesi,153733581340057,6,0,0,3,0,0,0,186
Affaritaliani.it,40204302316,14,0,898,1381,730,0,0,62218
nuova Forza Italia,194509588235,1,0,11,15,14,0,0,46198
Radicali,119200734774774,6,1,6,140,26,0,0,25494
Nuovaidea Informazione,336325086504451,1,0,9,95,39,0,0,33227
Il Tirreno,75980429042,2,1,98,478,165,0,0,89118
Fabrizio Di Stefano,297236503732430,3,0,3,42,0,0,0,5560
Repubblica TV,482356418498189,1,0,2,4,0,0,0,101520
Tuttocalciatori,315465112339,1,0,2,110,0,0,0,80078
Maurizio Sacconi,114926345184586,1,0,2,2,0,0,0,18724
Cagliari Pad,367441633300828,0,1,0,0,0,0,0,18728
Yahoo Notizie,140644149337153,2,0,45,113,64,0,0,68455
Corradino Mineo,429319385345,0,8,0,0,0,0,0,41762
Giornale di Sicilia,211307618890745,1,0,0,3,0,0,0,165923
Gianni Pittella,25923864548,2,0,75,806,192,0,0,32263
Giovanni Mauro,44563245962,1,0,1,23,2,0,0,3270
ANSA.it,158259371219,0,1,0,0,0,0,0,480560
Reset Italia,20308963292,1,0,1,1,0,0,0,18727
Khalid Chaouki,376665715753915,1,0,21,97,28,0,0,10994
Berlusconi - tutte le news by Polisblog,124669280990154,7,0,31,179,28,0,0,24294
La Tecnica della Scuola,187465577947087,5,0,54,370,232,0,0,38301
Pietro Laffranco,265196320224532,1,0,8,35,0,0,0,910
Fanpage.it,169992733022409,22,0,8692,17076,3501,0,0,2534472
Servizio Pubblico,281125725235741,22,0,3414,6885,2108,0,0,539767
Cristina Scaletti,85753281530,2,0,10,109,21,0,0,18632
Enrico Rossi Presidente,197611081853,3,0,437,1826,268,3,0,69961
Moreno MC,569878033051962,1,0,66,1274,126,0,0,586866
L'Adige - Quotidiano indipendente del Trentino Alto Adige,134572506600855,1,0,76,195,22,0,0,53795
Deborah Bergamini,351465298273438,0,2,0,0,0,0,0,5757
MoVimento Cinque Stelle Torino,226298867476374,2,0,41,856,0,1,0,31685
Cityrumors.it - L'Informazione in Abruzzo,297696295586,0,1,0,0,0,0,0,23503
Nichi Vendola,38771508894,2,0,553,6433,1461,0,0,569851
TMNews Agenzia di stampa,118192508259331,5,1,70,77,24,0,0,40934
Adnkronos Agenzia di stampa,181188228134,0,6,0,0,0,0,0,106066
KTBS 3 News,162752382574,1,0,4,43,3,0,0,107035
Piero Liuzzi,499497363425753,1,0,0,12,0,0,0,279
Marco Doria x Genova,234736036582930,1,0,4,22,1,2,0,11144
BlogSicilia,86834841772,4,0,25,37,18,0,0,67713
Giorgia Meloni,38919827644,11,3,715,10648,3237,0,0,105766
Excite Italia,101704826535618,1,0,0,14,0,0,0,45376
Antonio Iannone,254382474630730,1,0,0,21,0,0,0,16015
Pino Galati,59700480878,2,0,2,15,0,0,0,1022
Marco Travaglio,8387084989,0,1,0,0,0,0,0,1530216
Calciomercato.com,125394439972,3,0,198,477,217,0,0,245663
Libertà e Giustizia,111441375589496,3,0,59,580,362,0,0,29856
Today.it,335145169857930,1,0,2,5,0,0,0,278756
Sinistra Ecologia Libertà,120380341313167,1,0,53,386,443,0,0,60757
Lettera43.it,108910775840248,12,0,35,51,3,0,0,75160
Rai.tv,88988179171,3,0,6,50,1,0,0,352235
RomaToday,41916963809,1,0,6,83,62,0,0,203044
