nome,id,post,fanPost,comments,likes,shares,commentsToOwnPost,commentsToOtherPost,fan
Wall Street Italia,132595830103271,3,0,17,145,177,0,0,56506
Gad Lerner,123840324301537,4,0,790,1161,765,0,0,135884
UdineToday,131006693676317,0,1,0,0,0,0,0,14999
Roberto Fico,747606955265173,1,0,119,1565,730,0,0,63775
Francesco Amodeo,469803619746531,1,0,23,198,29,0,0,10389
Silvio Berlusconi,116716651695782,1,0,446,3286,564,0,0,633115
la Repubblica,179618821150,16,1,4200,7112,1820,0,0,1691825
Stefano Maullu,150618724962388,1,0,1,2,0,0,0,1435
il Post,111587468873716,3,0,12,26,0,0,0,145635
Rai3,143563942360060,1,0,0,27,1,0,0,91394
francesco storace,99296068005,1,3,8,40,0,2,1,57624
Giulio Cavalli,19784772755,1,0,22,442,257,0,0,32594
Zero81,161483127232425,1,0,1,3,0,0,0,6491
Briganti,302334778947,1,0,30,259,145,0,0,134594
Tuttomercatoweb.com,168271766534476,0,1,0,0,0,0,0,218473
Pietro Grasso,535381589813435,1,0,131,1338,121,0,0,38131
Live Sicilia,89007218065,1,0,3,29,0,0,0,110768
Quotidiano.net,357256150240,0,1,0,0,0,0,0,83679
Il Mattino,210639995470,5,0,421,592,119,0,0,337657
Imprese a Cinque Stelle,646922722034552,8,0,69,1364,2546,0,0,45300
Il Sole 24 ORE,38812693516,1,1,97,172,49,0,0,430963
Paolo Gentiloni,395923447178449,1,0,19,77,35,0,0,11410
Forza Italia,172265396249029,6,1,215,3660,509,0,0,72819
Sky TG24,215275341879427,2,0,165,119,27,0,0,251695
TrevisoToday,209381092469939,0,1,0,0,0,0,0,11856
Manlio Di Stefano - M5S,152760598115408,1,0,23,303,100,0,0,11792
MoVimento 5 Stelle Sicilia,221238591258991,1,0,27,645,304,0,0,103844
Giulia Sarti,450542288341989,4,0,425,3267,1836,0,0,28360
Vanity Fair Italia,105902722763324,0,1,0,0,0,0,0,579727
LA SFIDA TRA LE MIGLIORI BAND SU FACEB00K! schieramento LITFIBA,116200055065709,0,1,0,0,0,0,0,3843
